time,energy_per_task_mJ,local_component_mJ,fog_component_mJ,cloud_component_mJ
1.0,342.5,250.0,0.0,92.5
2.0,325.0,222.2,0.0,102.8
3.0,342.5,250.0,0.0,92.5
4.0,342.5,250.0,0.0,92.5
5.0,342.5,250.0,0.0,92.5
6.0,342.5,250.0,0.0,92.5
7.0,342.5,250.0,0.0,92.5
8.0,342.5,250.0,0.0,92.5
9.0,342.5,250.0,0.0,92.5
10.0,342.5,250.0,0.0,92.5
11.0,342.5,250.0,0.0,92.5
12.0,342.5,250.0,0.0,92.5
13.0,342.5,250.0,0.0,92.5
14.0,342.5,250.0,0.0,92.5
15.0,342.5,250.0,0.0,92.5
16.0,342.5,250.0,0.0,92.5
17.0,342.5,250.0,0.0,92.5
18.0,342.5,250.0,0.0,92.5
19.0,342.5,250.0,0.0,92.5
20.0,342.5,250.0,0.0,92.5
21.0,342.5,250.0,0.0,92.5
22.0,342.5,250.0,0.0,92.5
23.0,342.5,250.0,0.0,92.5
24.0,342.5,250.0,0.0,92.5
25.0,334.2,236.8,0.0,97.4
26.0,342.5,250.0,0.0,92.5
27.0,342.5,250.0,0.0,92.5
28.0,342.5,250.0,0.0,92.5
29.0,342.5,250.0,0.0,92.5
30.0,342.5,250.0,0.0,92.5
31.0,342.5,250.0,0.0,92.5
32.0,342.5,250.0,0.0,92.5
33.0,342.5,250.0,0.0,92.5
34.0,342.5,250.0,0.0,92.5
35.0,342.5,250.0,0.0,92.5
36.0,342.5,250.0,0.0,92.5
37.0,342.5,250.0,0.0,92.5
38.0,342.5,250.0,0.0,92.5
39.0,342.5,250.0,0.0,92.5
40.0,342.5,250.0,0.0,92.5
41.0,342.5,250.0,0.0,92.5
42.0,342.5,250.0,0.0,92.5
43.0,342.5,250.0,0.0,92.5
44.0,336.7,240.7,0.0,95.9
45.0,342.5,250.0,0.0,92.5
46.0,342.5,250.0,0.0,92.5
47.0,348.3,259.3,0.0,89.1
48.0,348.3,259.3,0.0,89.1
49.0,342.5,250.0,0.0,92.5
50.0,347.6,258.1,0.0,89.5
51.0,342.5,250.0,0.0,92.5
