time,RSU_J1,RSU_J2,RSU_J3,RSU_J4,max_congestion_pct
1.0,0,0,0,0,0.0
2.0,16.7,6.7,6.7,0.0,16.7
3.0,20.0,6.7,6.7,0.0,20.0
4.0,20.0,6.7,6.7,0.0,20.0
5.0,20.0,6.7,6.7,0.0,20.0
6.0,20.0,6.7,6.7,0.0,20.0
7.0,20.0,6.7,6.7,0.0,20.0
8.0,20.0,6.7,6.7,0.0,20.0
9.0,20.0,6.7,6.7,0.0,20.0
10.0,20.0,6.7,6.7,0.0,20.0
11.0,20.0,6.7,6.7,0.0,20.0
12.0,20.0,6.7,6.7,0.0,20.0
13.0,20.0,6.7,6.7,0.0,20.0
14.0,20.0,6.7,6.7,0.0,20.0
15.0,20.0,6.7,6.7,0.0,20.0
16.0,26.7,6.7,6.7,0.0,26.7
17.0,26.7,13.3,6.7,0.0,26.7
18.0,26.7,13.3,6.7,0.0,26.7
19.0,33.3,13.3,6.7,0.0,33.3
20.0,33.3,13.3,6.7,0.0,33.3
21.0,33.3,13.3,6.7,0.0,33.3
22.0,36.7,10.0,13.3,0.0,36.7
23.0,33.3,13.3,13.3,0.0,33.3
24.0,36.7,10.0,13.3,0.0,36.7
25.0,40.0,10.0,13.3,0.0,40.0
26.0,40.0,13.3,13.3,0.0,40.0
27.0,40.0,13.3,13.3,0.0,40.0
28.0,43.3,13.3,10.0,0.0,43.3
29.0,43.3,13.3,10.0,0.0,43.3
30.0,50.0,13.3,10.0,0.0,50.0
31.0,50.0,13.3,10.0,0.0,50.0
32.0,50.0,13.3,10.0,0.0,50.0
33.0,53.3,20.0,6.7,0.0,53.3
34.0,53.3,20.0,6.7,0.0,53.3
35.0,50.0,20.0,10.0,0.0,50.0
36.0,43.3,23.3,13.3,0.0,43.3
37.0,50.0,23.3,13.3,0.0,50.0
38.0,53.3,20.0,13.3,0.0,53.3
39.0,53.3,20.0,13.3,0.0,53.3
40.0,53.3,20.0,13.3,0.0,53.3
41.0,53.3,20.0,13.3,0.0,53.3
42.0,53.3,20.0,13.3,0.0,53.3
43.0,53.3,20.0,20.0,0.0,53.3
44.0,53.3,20.0,20.0,0.0,53.3
45.0,60.0,16.7,20.0,0.0,60.0
46.0,60.0,16.7,20.0,0.0,60.0
47.0,60.0,16.7,20.0,0.0,60.0
48.0,56.7,16.7,23.3,0.0,56.7
49.0,60.0,23.3,23.3,0.0,60.0
50.0,60.0,23.3,26.7,0.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0
